num,x,y,temp,RGB
0,1.88617169857,1.79672443867,17.5,#7F837E
1,1.83584499359,2.85176968575,17.5,#7F837E
2,1.75095331669,3.96726131439,17.5,#7F837E
3,2.65264248848,3.77355217934,17.5,#7F837E
4,2.73383140564,2.77787089348,17.5,#7E837E
5,2.76444673538,1.89209401608,17.5,#7F837E
6,3.3064827919,4.84928560257,17.5,#7E837D
7,4.25115299225,5.30098247528,17.5,#7E837E
8,5.09022092819,5.32942962646,17.5,#7E837D
9,5.98079776764,5.34096193314,17.5,#7E837D
10,5.97998428345,4.27343988419,17.5,#7E837D
11,4.99192905426,4.37415838242,17.5,#7E837D
12,6.04586791992,3.16352319717,17.5,#7E837D
13,5.21603870392,3.35608386993,17.5,#7E837D
14,4.39024591446,3.06433558464,17.5,#7E837D
15,3.27431631088,5.97178506851,17.5,#7F837E
16,2.40835237503,6.33201026917,17.6000003815,#7F837E
17,1.44783079624,6.19356250763,17.5,#7F837E
18,3.21201848984,7.15444231033,17.5,#7F847E
19,4.16451835632,7.47099590302,17.5,#7F847E
20,5.14521408081,7.50657939911,17.5,#7F847E
21,5.89101457596,8.27675628662,17.5,#7F847E
22,5.76131343842,9.39879512787,17.5,#7F847E
23,5.0078253746,10.1374397278,17.5,#7F847E
24,3.9874215126,10.1465578079,17.5,#7F847E
25,4.04824304581,9.18162918091,17.5,#7F847E
26,4.99045801163,9.12452697754,17.5,#7F847E
27,4.6246805191,8.29993629456,17.5,#7F847E
28,2.93042898178,8.2466802597,17.5,#7F847E
29,1.96073818207,8.25454902649,17.5,#7F847E
30,2.56388711929,9.22008323669,17.6000003815,#7F847E
31,1.77443981171,9.75595092773,17.6000003815,#7F847E
32,1.34405732155,9.00124740601,17.5,#7F847E
