num,x,y,temp,RGB
0,3.11655187607,3.86735677719,18.6000003815,#605C51
1,4.17738485336,3.87144446373,18.6000003815,#605C51
2,4.15100383759,4.81758832932,18.6000003815,#605C51
3,4.50102758408,5.94904375076,18.6000003815,#605C51
4,3.82920241356,6.35096216202,18.6000003815,#605C51
5,2.91987228394,6.51875209808,18.6000003815,#605C51
6,1.95221447945,7.24857711792,18.6000003815,#605C51
7,1.19675910473,6.7323679924,18.6000003815,#605C51
8,1.08133947849,7.63522911072,18.6000003815,#605C51
9,5.46458292007,6.34604787827,18.6000003815,#605C51
10,5.53192853928,7.26701641083,18.6000003815,#605C51
11,6.33694219589,6.1832575798,18.6000003815,#605C51
12,7.44464063644,6.98502588272,18.6000003815,#605C51
13,7.85120630264,7.80419445038,18.6000003815,#605C51
14,7.30491733551,6.80811691284,18.6000003815,#605C51
15,8.75100517273,7.55583906174,18.6000003815,#605C51
16,6.4800028801,5.11465549469,18.6000003815,#605C51
17,7.25210857391,4.40634822845,18.6000003815,#605C51
18,6.35849380493,4.2351140976,18.6000003815,#605C51
19,6.90387201309,3.36629915237,18.7000007629,#605C51
20,7.87472248077,3.41271066666,18.6000003815,#605C51
21,8.82157516479,3.31821537018,18.6000003815,#605C51
22,8.0871257782,4.14448022842,18.6000003815,#605C51
23,5.54952812195,8.28577232361,18.6000003815,#605C51
